date,strategy,benchmark
2025-07-24,1.0,19837.0
2025-07-25,1.0,20031.0
2025-07-28,1.0,20200.0
2025-07-29,1.0,20280.0
2025-07-30,1.0,20105.0
2025-07-31,1.0,20300.0
2025-08-01,1.0,20170.0
2025-08-04,1.0,19760.0
2025-08-05,1.0,20065.0
2025-08-06,1.0,20030.0
2025-08-07,1.0,20025.0
2025-08-08,1.0,20105.0
2025-08-11,1.0,20235.0
2025-08-12,1.0,20220.0
2025-08-13,1.0,20290.0
2025-08-14,1.0,20335.0
2025-08-18,1.0,20345.0
2025-08-19,1.0,20405.0
2025-08-20,1.0,20380.0
2025-08-21,1.0,20390.0
2025-08-22,1.0,20200.0
2025-08-25,1.0,20405.0
2025-08-26,1.0,20495.0
2025-08-27,1.0,20600.0
2025-08-28,1.0,20500.0
2025-08-29,1.0,20595.0
2025-09-01,1.0,20480.0
2025-09-02,1.0,20475.0
2025-09-03,1.0,20400.0
2025-09-04,1.0,20500.0
2025-09-05,1.0,20685.0
2025-09-08,1.0,20595.0
2025-09-09,1.0,20605.0
2025-09-10,1.0,20645.0
2025-09-11,1.0,20765.0
2025-09-12,1.0,20855.0
2025-09-15,1.0,20890.0
2025-09-16,1.0,20845.0
2025-09-17,1.0,20810.0
2025-09-18,1.0,20980.0
2025-09-19,1.0,21085.0
