number,value,datetime_start,datetime_complete,duration,ma_period,rsi_period,stop_loss_pct,by_lookback,fail_reason,valid,state
23,-1.051508751976271,2025-12-27 19:02:38.867610,2025-12-27 19:02:43.376971,0 days 00:00:04.509361,90,55,0.060000000000000005,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 156, 'val_is_capped': False, 'val_sharpe': 0.048509312963289114, 'score': 0.048509312963289114}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 414, 'val_is_capped': False, 'val_sharpe': -1.051508751976271, 'score': -1.051508751976271}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 927, 'val_is_capped': False, 'val_sharpe': -0.796347823358955, 'score': -0.796347823358955}}",,True,COMPLETE
21,-1.051508751976271,2025-12-27 19:02:30.102915,2025-12-27 19:02:34.636500,0 days 00:00:04.533585,90,51,0.08,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 156, 'val_is_capped': False, 'val_sharpe': 0.048509312963289114, 'score': 0.048509312963289114}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 414, 'val_is_capped': False, 'val_sharpe': -1.051508751976271, 'score': -1.051508751976271}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 926, 'val_is_capped': False, 'val_sharpe': -0.941508783075453, 'score': -0.941508783075453}}",,True,COMPLETE
45,-1.051508751976271,2025-12-27 19:04:13.962022,2025-12-27 19:04:18.534658,0 days 00:00:04.572636,90,54,0.05,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 156, 'val_is_capped': False, 'val_sharpe': 0.048509312963289114, 'score': 0.048509312963289114}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 414, 'val_is_capped': False, 'val_sharpe': -1.051508751976271, 'score': -1.051508751976271}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 930, 'val_is_capped': False, 'val_sharpe': -0.5944579923650105, 'score': -0.5944579923650105}}",,True,COMPLETE
33,-1.051508751976271,2025-12-27 19:03:20.489219,2025-12-27 19:03:24.965541,0 days 00:00:04.476322,90,53,0.08,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 156, 'val_is_capped': False, 'val_sharpe': 0.048509312963289114, 'score': 0.048509312963289114}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 414, 'val_is_capped': False, 'val_sharpe': -1.051508751976271, 'score': -1.051508751976271}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 926, 'val_is_capped': False, 'val_sharpe': -0.941508783075453, 'score': -0.941508783075453}}",,True,COMPLETE
16,-1.0564779587651487,2025-12-27 19:02:08.486337,2025-12-27 19:02:13.090000,0 days 00:00:04.603663,90,45,0.08,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 156, 'val_is_capped': False, 'val_sharpe': 0.048509312963289114, 'score': 0.048509312963289114}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 412, 'val_is_capped': False, 'val_sharpe': -1.0564779587651487, 'score': -1.0564779587651487}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 928, 'val_is_capped': False, 'val_sharpe': -1.0554091673016153, 'score': -1.0554091673016153}}",,True,COMPLETE
41,-1.0564779587651487,2025-12-27 19:03:56.009585,2025-12-27 19:04:00.556288,0 days 00:00:04.546703,90,47,0.08,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 156, 'val_is_capped': False, 'val_sharpe': 0.048509312963289114, 'score': 0.048509312963289114}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 412, 'val_is_capped': False, 'val_sharpe': -1.0564779587651487, 'score': -1.0564779587651487}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 928, 'val_is_capped': False, 'val_sharpe': -1.0550266077031776, 'score': -1.0550266077031776}}",,True,COMPLETE
14,-1.0564779587651487,2025-12-27 19:01:59.514866,2025-12-27 19:02:04.414616,0 days 00:00:04.899750,90,44,0.08,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 156, 'val_is_capped': False, 'val_sharpe': 0.07225554989943828, 'score': 0.07225554989943828}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 412, 'val_is_capped': False, 'val_sharpe': -1.0564779587651487, 'score': -1.0564779587651487}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 928, 'val_is_capped': False, 'val_sharpe': -1.0554091673016153, 'score': -1.0554091673016153}}",,True,COMPLETE
20,-1.056803645892122,2025-12-27 19:02:25.610618,2025-12-27 19:02:30.096158,0 days 00:00:04.485540,90,52,0.08,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 156, 'val_is_capped': False, 'val_sharpe': 0.048509312963289114, 'score': 0.048509312963289114}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 414, 'val_is_capped': False, 'val_sharpe': -1.051508751976271, 'score': -1.051508751976271}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 928, 'val_is_capped': False, 'val_sharpe': -1.056803645892122, 'score': -1.056803645892122}}",,True,COMPLETE
13,-1.0726259378005856,2025-12-27 19:01:54.846457,2025-12-27 19:01:59.509480,0 days 00:00:04.663023,90,38,0.08,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 156, 'val_is_capped': False, 'val_sharpe': 0.14303982958979483, 'score': 0.14303982958979483}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 414, 'val_is_capped': False, 'val_sharpe': -1.0726259378005856, 'score': -1.0726259378005856}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 930, 'val_is_capped': False, 'val_sharpe': -1.0670881135067996, 'score': -1.0670881135067996}}",,True,COMPLETE
47,-1.1847664358151542,2025-12-27 19:04:23.296488,2025-12-27 19:04:27.882526,0 days 00:00:04.586038,80,58,0.060000000000000005,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 194, 'val_is_capped': False, 'val_sharpe': 0.41625194690238765, 'score': 0.41625194690238765}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 454, 'val_is_capped': False, 'val_sharpe': -1.1114372217837465, 'score': -1.1114372217837465}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 973, 'val_is_capped': False, 'val_sharpe': -1.1847664358151542, 'score': -1.1847664358151542}}",,True,COMPLETE
