ticker,name,avg_volume,avg_value,last_price
495710,BNK 26-06 특수채(AAA이상)액티브,19.714285714285715,1013371.9047619047,51415
466810,BNK 2차전지양극재,575178.9523809524,3784499289.5238094,6410
457930,BNK 미래전략기술액티브,3874.5714285714284,74272382.38095239,19040
487750,BNK 온디바이스AI,54917.76190476191,682717145.2380953,13080
445690,BNK 주주가치액티브,1440.047619047619,29558994.76190476,20440
0112X0,마이티 200TR,37840.11111111111,807319622.7777778,20885
465780,마이티 26-09 특수채(AAA)액티브,117.14285714285714,12554938.333333334,107110
442260,마이티 다이나믹퀀트액티브,2847.714285714286,55130053.333333336,19310
0001P0,마이티 바이오시밀러&CDMO액티브,10965.714285714286,112857264.76190476,10585
159800,마이티 코스피100,6335.523809523809,280032714.7619048,43530
472840,ITF 200,509.85714285714283,27812761.666666668,55845
0005G0,ITF K-AI반도체코어테크,19171.52380952381,357951364.52380955,18840
361580,RISE 200TR,167093.85714285713,5192508102.857142,31565
290080,RISE 200고배당커버드콜ATM,62336.47619047619,534642275.95238096,8665
284980,RISE 200금융,23024.04761904762,377170804.7619048,16685
252400,RISE 200선물레버리지,64090.76190476191,2400946822.857143,37830
252420,RISE 200선물인버스2X,639460.7619047619,513113630.1904762,756
252410,RISE 200선물인버스,13057.666666666666,45804851.666666664,3435
475720,RISE 200위클리커버드콜,2061841.4761904762,22047467380.714287,10575
148020,RISE 200,1961697.380952381,108594350817.61905,56375
448600,RISE 25-11 회사채(AA-이상)액티브,5547.0,291113090.2380952,52455
465330,RISE 2차전지TOP10,1015415.6666666666,10906105538.809525,10770
465350,RISE 2차전지TOP10인버스(합성),936715.4285714285,23063823221.190475,24490
422420,RISE 2차전지액티브,1783467.8095238095,13718655652.619047,7485
105780,RISE 5대그룹주,14548.47619047619,131083529.04761904,9075
469070,RISE AI&로봇,1928047.4285714286,23272276118.333332,11600
0093A0,RISE AI반도체TOP10,505467.1904761905,8171476293.809524,16310
0101N0,RISE AI전력인프라,857409.4285714285,10860161480.47619,13095
477080,RISE CD금리액티브(합성),5818.285714285715,610820427.6190476,105100
290130,RISE ESG사회책임투자,88365.38095238095,1878108000.7142856,21770
367760,RISE 5G테크,204673.7142857143,3949345055.4761906,20055
367770,RISE 수소경제테마,136474.66666666666,2356418609.7619047,17285
388280,RISE 컨택트대표,14572.666666666666,105787040.0,7020
427120,RISE 플랫폼테마,94159.61904761905,741651406.1904762,7370
326240,RISE IT플러스,313413.4761904762,7317097174.523809,23355
385560,RISE KIS국고채30년Enhanced,53938.619047619046,4166178268.3333335,72655
479520,RISE KOFR금리액티브(합성),3249.190476190476,340063055.0,104765
270800,RISE KQ고배당,5747.0952380952385,77977858.09523809,13330
292050,RISE KRX300,2348.8571428571427,61146715.47619048,26505
442550,RISE TDF2030액티브,7836.285714285715,109659748.33333333,13975
442560,RISE TDF2040액티브,11106.333333333334,164818286.52380952,14915
442570,RISE TDF2050액티브,68839.47619047618,1062480481.4285715,15520
0013R0,RISE 테슬라미국채타겟커버드콜혼합(합성),91160.90476190476,923390942.8571428,10205
234310,RISE V&S셀렉트밸류,282.9047619047619,5383712.619047619,18945
241390,RISE V&S셀렉트밸류채권혼합,15328.52380952381,208795149.76190478,13555
401170,RISE 메타버스,56866.47619047619,432661172.61904764,7440
300640,RISE 게임테마,76081.61904761905,611046897.8571428,7760
266160,RISE 고배당,111298.0,2118061585.4761906,19200
481430,RISE 국고채10년액티브,4527.428571428572,485276135.95238096,105300
282000,RISE 국고채3년선물인버스,50948.09523809524,5733637134.761905,112790
114100,RISE 국고채3년,743.5714285714286,81443562.38095239,108790
451670,RISE 국채30년레버리지(합성),2335.6190476190477,53854439.52380952,21230
295020,RISE 국채선물10년인버스,144959.09523809524,8106395909.047619,56575
295000,RISE 국채선물10년,1017.952380952381,56445460.23809524,54430
432600,RISE 국채선물3년,15.428571428571429,858010.4761904762,55230
397420,RISE 국채선물5년추종,32.666666666666664,1707055.7142857143,51545
0114X0,RISE 글로벌게임테크TOP3Plus,294572.78571428574,2971177740.357143,9910
437370,RISE 글로벌농업경제,1738.904761904762,16530635.952380951,9380
375270,RISE 글로벌데이터센터리츠(합성),7827.428571428572,113349388.09523809,14470
475380,RISE 글로벌리얼티인컴,22931.571428571428,238952412.85714287,10360
476310,RISE 글로벌비만산업TOP2+,6794.523809523809,61497459.28571428,9340
417450,RISE 글로벌수소경제,97883.38095238095,1280900550.2380953,13455
442320,RISE 글로벌원자력,463659.95238095237,19347369136.904762,39300
461490,RISE 글로벌자산배분액티브,620646.6666666666,9136698827.380953,14615
459750,RISE 글로벌주식분산액티브,22737.619047619046,369388808.0952381,16510
399580,RISE 글로벌클린에너지,24976.95238095238,228346001.42857143,9705
276650,RISE 글로벌테크놀로지(합성 H),2022.095238095238,77804276.42857143,39085
336160,RISE 금융채액티브,667.0952380952381,68910973.57142857,102620
326230,RISE 내수주플러스,10714.857142857143,109383453.57142857,10215
272560,RISE 단기국공채액티브,5066.142857142857,578641262.6190476,114180
385550,RISE 단기채권알파액티브,4132.619047619048,470375100.95238096,113840
196230,RISE 단기통안채,9601.190476190477,1115709587.5238094,116270
0061Z0,RISE 단기특수은행채액티브,3888.809523809524,196157382.3809524,50485
315960,RISE 대형고배당10TR,94290.71428571429,3202732196.1904764,35370
455890,RISE 머니마켓액티브,398522.7619047619,21851668018.57143,54885
481340,RISE 미국30년국채액티브,90890.19047619047,921551691.1904762,10150
472870,RISE 미국30년국채엔화노출(합성 H),1171694.4285714286,9927498476.666666,8455
472830,RISE 미국30년국채커버드콜(합성),136809.80952380953,1289520690.7142856,9480
485690,RISE 미국AI밸류체인TOP3Plus,89757.28571428571,1623390332.857143,18195
490590,RISE 미국AI밸류체인데일리고정커버드콜,916854.7142857143,13019309517.142857,13905
495940,RISE 미국AI테크액티브,42824.47619047619,596862314.5238096,13795
0005C0,RISE 미국S&P500엔화노출(합성 H),3338.714285714286,37459424.71428572,11330
379780,RISE 미국S&P500,456446.95238095237,9560467649.047619,21285
453330,RISE 미국S&P500(H),54266.19047619047,881652585.9523809,16135
460660,RISE 미국S&P배당킹,16187.52380952381,174652034.76190478,10790
219390,RISE 미국S&P원유생산기업(합성 H),62417.47619047619,352405114.04761904,5645
0115C0,RISE 미국고배당다우존스TOP10,309815.14285714284,3144388494.285714,10215
354240,RISE 미국고정배당우선증권,10112.666666666666,122247504.04761904,12375
368590,RISE 미국나스닥100,294018.71428571426,7869705492.142858,27140
437350,RISE 미국단기투자등급회사채액티브,28096.190476190477,356305953.5714286,12930
