[2025-12-31 10:24:21,991] INFO - 상태 조회 요청 (GET /api/status)
[2025-12-31 10:24:22,006] INFO - 원본 조회 요청: logs\daily_20251231.log
[2025-12-31 10:24:22,010] INFO - 포트폴리오 조회 요청 (GET /api/portfolio)
[2025-12-31 10:24:22,026] INFO - 신호 조회 요청 (GET /api/signals)
[2025-12-31 10:24:22,055] INFO - 이력 조회 요청 (GET /api/history)
[2025-12-31 10:24:22,177] INFO - 검증 리포트 조회 요청 (GET /api/validation)
[2025-12-31 10:29:36,760] INFO - 상태 조회 요청 (GET /api/status)
[2025-12-31 10:29:36,783] INFO - 원본 조회 요청: logs\daily_20251231.log
[2025-12-31 10:29:36,795] INFO - 포트폴리오 조회 요청 (GET /api/portfolio)
[2025-12-31 10:29:36,816] INFO - 신호 조회 요청 (GET /api/signals)
[2025-12-31 10:29:36,912] INFO - 이력 조회 요청 (GET /api/history)
[2025-12-31 10:29:37,027] INFO - 검증 리포트 조회 요청 (GET /api/validation)
[2025-12-31 11:42:46,183] INFO - 상태 조회 요청 (GET /api/status)
[2025-12-31 11:42:46,193] INFO - 원본 조회 요청: logs\daily_20251231.log
[2025-12-31 11:42:46,193] INFO - 포트폴리오 조회 요청 (GET /api/portfolio)
[2025-12-31 11:42:46,210] INFO - 신호 조회 요청 (GET /api/signals)
[2025-12-31 11:42:46,223] INFO - 이력 조회 요청 (GET /api/history)
[2025-12-31 11:42:46,307] INFO - 검증 리포트 조회 요청 (GET /api/validation)
[2025-12-31 11:46:11,372] INFO - 상태 조회 요청 (GET /api/status)
[2025-12-31 11:46:11,377] INFO - 원본 조회 요청: logs\daily_20251231.log
[2025-12-31 11:46:11,378] INFO - 포트폴리오 조회 요청 (GET /api/portfolio)
[2025-12-31 11:46:11,410] INFO - 신호 조회 요청 (GET /api/signals)
[2025-12-31 11:46:11,463] INFO - 이력 조회 요청 (GET /api/history)
[2025-12-31 11:46:11,595] INFO - 검증 리포트 조회 요청 (GET /api/validation)
[2025-12-31 13:41:31,346] INFO - 상태 조회 요청 (GET /api/status)
[2025-12-31 13:41:31,351] INFO - 원본 조회 요청: logs\daily_20251231.log
[2025-12-31 13:41:31,353] INFO - 포트폴리오 조회 요청 (GET /api/portfolio)
[2025-12-31 13:41:31,372] INFO - 신호 조회 요청 (GET /api/signals)
[2025-12-31 13:41:31,386] INFO - 이력 조회 요청 (GET /api/history)
[2025-12-31 13:41:31,456] INFO - 검증 리포트 조회 요청 (GET /api/validation)
[2025-12-31 13:41:34,948] INFO - 상태 조회 요청 (GET /api/status)
[2025-12-31 13:41:34,958] INFO - 원본 조회 요청: logs\daily_20251231.log
[2025-12-31 13:41:34,958] INFO - 포트폴리오 조회 요청 (GET /api/portfolio)
[2025-12-31 13:41:34,969] INFO - 신호 조회 요청 (GET /api/signals)
[2025-12-31 13:41:34,982] INFO - 이력 조회 요청 (GET /api/history)
[2025-12-31 13:41:35,048] INFO - 검증 리포트 조회 요청 (GET /api/validation)
[2025-12-31 13:41:48,961] INFO - 상태 조회 요청 (GET /api/status)
[2025-12-31 13:41:48,979] INFO - 원본 조회 요청: logs\daily_20251231.log
[2025-12-31 13:41:48,981] INFO - 포트폴리오 조회 요청 (GET /api/portfolio)
[2025-12-31 13:41:49,010] INFO - 신호 조회 요청 (GET /api/signals)
[2025-12-31 13:41:49,024] INFO - 이력 조회 요청 (GET /api/history)
[2025-12-31 13:41:49,150] INFO - 검증 리포트 조회 요청 (GET /api/validation)
[2025-12-31 15:00:09,309] INFO - 상태 조회 요청 (GET /api/status)
[2025-12-31 15:00:09,326] INFO - 원본 조회 요청: logs\daily_20251231.log
[2025-12-31 15:00:09,327] INFO - 포트폴리오 조회 요청 (GET /api/portfolio)
[2025-12-31 15:00:09,352] INFO - 신호 조회 요청 (GET /api/signals)
[2025-12-31 15:00:09,363] INFO - 이력 조회 요청 (GET /api/history)
[2025-12-31 15:00:09,552] INFO - 검증 리포트 조회 요청 (GET /api/validation)
[2025-12-31 15:00:55,735] INFO - 상태 조회 요청 (GET /api/status)
[2025-12-31 15:00:55,754] INFO - 원본 조회 요청: logs\daily_20251231.log
[2025-12-31 15:00:55,754] INFO - 포트폴리오 조회 요청 (GET /api/portfolio)
[2025-12-31 15:00:55,777] INFO - 신호 조회 요청 (GET /api/signals)
[2025-12-31 15:00:55,817] INFO - 이력 조회 요청 (GET /api/history)
[2025-12-31 15:00:56,007] INFO - 검증 리포트 조회 요청 (GET /api/validation)
[2025-12-31 15:28:54,106] INFO - 상태 조회 요청 (GET /api/status)
[2025-12-31 15:28:54,127] INFO - 원본 조회 요청: logs\daily_20251231.log
[2025-12-31 15:28:54,127] INFO - 포트폴리오 조회 요청 (GET /api/portfolio)
[2025-12-31 15:28:54,154] INFO - 신호 조회 요청 (GET /api/signals)
[2025-12-31 15:28:54,199] INFO - 이력 조회 요청 (GET /api/history)
[2025-12-31 15:28:54,353] INFO - 검증 리포트 조회 요청 (GET /api/validation)
