date,ticker,action,shares,price
2023-02-14,364980,BUY,209,15900.0
2023-02-14,445290,BUY,281,11835.0
2023-02-14,371460,BUY,265,12560.0
2023-02-16,371460,SELL,265,12385.0
2023-02-23,434730,BUY,330,9915.0
2023-02-24,434730,SELL,330,9805.0
2023-02-27,364980,SELL,209,15090.0
2023-02-28,364980,BUY,319,15410.0
2023-03-14,445290,SELL,281,11675.0
2023-03-15,434730,BUY,332,10105.0
2023-03-23,434730,SELL,332,9740.0
2023-03-23,445290,BUY,352,13230.0
2023-03-29,364980,SELL,319,17195.0
2023-03-29,445290,SELL,352,13280.0
2023-03-29,305540,BUY,36,27980.0
2023-03-29,446700,BUY,70,14410.0
2023-03-29,305720,BUY,37,27000.0
2023-03-29,422420,BUY,82,12340.0
2023-03-29,388420,BUY,114,8875.0
2023-03-29,229200,BUY,82,12345.0
2023-03-29,395160,BUY,121,8400.0
2023-03-29,381170,BUY,96,10510.0
2023-03-29,426030,BUY,98,10365.0
2023-03-29,381560,BUY,113,8995.0
2023-03-30,381560,SELL,113,9115.0
2023-03-30,445290,BUY,75,13590.0
2023-03-31,445290,SELL,75,13215.0
2023-03-31,396500,BUY,126,8210.0
2023-04-03,396500,SELL,126,8170.0
2023-04-03,379810,BUY,92,11400.0
2023-04-05,379810,SELL,92,11350.0
2023-04-05,449450,BUY,93,11285.0
2023-04-06,426030,SELL,98,10625.0
2023-04-06,411060,BUY,85,12275.0
2023-04-07,449450,SELL,93,11065.0
2023-04-07,426030,BUY,95,10755.0
2023-04-10,411060,SELL,85,12205.0
2023-04-10,426030,SELL,95,10730.0
2023-04-10,381560,BUY,114,9550.0
2023-04-10,364980,BUY,52,18755.0
2023-04-12,364980,SELL,52,18650.0
2023-04-12,449450,BUY,85,11330.0
2023-04-13,381170,SELL,96,10725.0
2023-04-13,421320,BUY,94,10940.0
2023-04-14,449450,SELL,85,11250.0
2023-04-14,421320,SELL,94,10840.0
2023-04-14,364980,BUY,55,19350.0
2023-04-14,381170,BUY,84,10890.0
2023-04-17,395160,SELL,121,8600.0
2023-04-17,381170,SELL,84,10990.0
2023-04-17,449450,BUY,94,11560.0
2023-04-17,434730,BUY,78,11220.0
2023-04-18,434730,SELL,78,10955.0
2023-04-18,139230,BUY,265,3250.0
2023-04-20,388420,SELL,114,8815.0
2023-04-20,421320,BUY,90,11125.0
2023-04-21,421320,SELL,90,10910.0
2023-04-21,388420,BUY,110,8955.0
2023-04-24,364980,SELL,55,19030.0
2023-04-24,388420,SELL,110,8705.0
2023-04-24,381170,BUY,95,10935.0
2023-04-24,434730,BUY,88,10960.0
2023-04-25,422420,SELL,82,12440.0
2023-04-25,229200,SELL,82,12600.0
2023-04-25,421320,BUY,93,11095.0
2023-04-25,411060,BUY,83,12260.0
2023-04-26,434730,SELL,88,10675.0
2023-04-26,421320,SELL,93,10770.0
2023-04-26,379810,BUY,89,11395.0
2023-04-26,133690,BUY,12,77050.0
2023-04-27,381560,SELL,114,9365.0
2023-04-27,133690,SELL,12,77160.0
2023-04-27,422420,BUY,80,12815.0
2023-04-27,229200,BUY,75,12980.0
2023-04-28,411060,SELL,83,12205.0
2023-04-28,422420,SELL,80,12595.0
2023-04-28,133690,BUY,13,78570.0
2023-04-28,426030,BUY,92,10875.0
2023-05-02,139230,SELL,265,3210.0
2023-05-02,422420,BUY,66,12870.0
2023-05-03,229200,SELL,75,12765.0
2023-05-03,422420,SELL,66,12460.0
2023-05-03,411060,BUY,81,12415.0
2023-05-03,388420,BUY,88,8775.0
2023-05-04,426030,SELL,92,10710.0
2023-05-04,388420,SELL,88,8630.0
2023-05-04,229200,BUY,78,12860.0
2023-05-04,139230,BUY,236,3160.0
2023-05-08,305720,SELL,37,27640.0
2023-05-08,426030,BUY,92,10865.0
2023-05-09,229200,SELL,78,12620.0
2023-05-09,379800,BUY,81,12285.0
2023-05-11,305540,SELL,36,27700.0
2023-05-11,446700,SELL,70,14050.0
2023-05-11,442320,BUY,101,9925.0
2023-05-11,360200,BUY,71,13890.0
2023-05-12,442320,SELL,101,9885.0
2023-05-12,360750,BUY,72,13825.0
2023-05-18,411060,SELL,81,12215.0
2023-05-18,381180,BUY,89,11110.0
2023-05-19,379800,SELL,81,12515.0
2023-05-19,360200,SELL,71,14110.0
2023-05-19,360750,SELL,72,13965.0
2023-05-19,388420,BUY,112,9125.0
2023-05-19,396500,BUY,123,8315.0
2023-05-19,395160,BUY,114,8605.0
2023-05-22,381180,SELL,89,11305.0
2023-05-22,395270,BUY,119,8460.0
