number,value,datetime_start,datetime_complete,duration,ma_period,rsi_period,stop_loss_pct,by_lookback,fail_reason,valid,state
14,-1.9837934979243275,2025-12-27 14:01:54.390580,2025-12-27 14:02:05.080720,0 days 00:00:10.690140,60,30,0.13,"{'3': {'requested_lb': 3, 'effective_lb': 'N/A', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 280, 'val_is_capped': False, 'val_sharpe': -1.4642715506019868, 'score': -1.4642715506019868}, '6': {'requested_lb': 6, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 530, 'val_is_capped': False, 'val_sharpe': -1.9837934979243275, 'score': -1.9837934979243275}, '12': {'requested_lb': 12, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 530, 'val_is_capped': False, 'val_sharpe': -1.9837934979243275, 'score': -1.9837934979243275}}",,True,COMPLETE
17,-2.0514786642074716,2025-12-27 14:02:26.267880,2025-12-27 14:02:37.298166,0 days 00:00:11.030286,50,14,0.15,"{'3': {'requested_lb': 3, 'effective_lb': 'N/A', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 280, 'val_is_capped': False, 'val_sharpe': -2.0514786642074716, 'score': -2.0514786642074716}, '6': {'requested_lb': 6, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -1.3412937504935571, 'score': -1.3412937504935571}, '12': {'requested_lb': 12, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -1.3412937504935571, 'score': -1.3412937504935571}}",,True,COMPLETE
7,-2.2359812384785376,2025-12-27 14:00:38.827963,2025-12-27 14:00:49.658235,0 days 00:00:10.830272,60,24,0.09,"{'3': {'requested_lb': 3, 'effective_lb': 'N/A', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 280, 'val_is_capped': False, 'val_sharpe': -2.2359812384785376, 'score': -2.2359812384785376}, '6': {'requested_lb': 6, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 530, 'val_is_capped': False, 'val_sharpe': -2.2198922026374284, 'score': -2.2198922026374284}, '12': {'requested_lb': 12, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 530, 'val_is_capped': False, 'val_sharpe': -2.2198922026374284, 'score': -2.2198922026374284}}",,True,COMPLETE
2,-2.269603042871571,2025-12-27 13:59:49.718853,2025-12-27 14:00:00.073537,0 days 00:00:10.354684,40,54,0.11,"{'3': {'requested_lb': 3, 'effective_lb': 'N/A', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 280, 'val_is_capped': False, 'val_sharpe': -2.269603042871571, 'score': -2.269603042871571}, '6': {'requested_lb': 6, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 530, 'val_is_capped': False, 'val_sharpe': -1.7123771605233813, 'score': -1.7123771605233813}, '12': {'requested_lb': 12, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 530, 'val_is_capped': False, 'val_sharpe': -1.7123771605233813, 'score': -1.7123771605233813}}",,True,COMPLETE
10,-2.3044496035460904,2025-12-27 14:01:10.845705,2025-12-27 14:01:21.445801,0 days 00:00:10.600096,40,34,0.08,"{'3': {'requested_lb': 3, 'effective_lb': 'N/A', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 280, 'val_is_capped': False, 'val_sharpe': -2.3044496035460904, 'score': -2.3044496035460904}, '6': {'requested_lb': 6, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 530, 'val_is_capped': False, 'val_sharpe': -1.6998265065840654, 'score': -1.6998265065840654}, '12': {'requested_lb': 12, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 530, 'val_is_capped': False, 'val_sharpe': -1.6998265065840654, 'score': -1.6998265065840654}}",,True,COMPLETE
11,-2.3044496035460904,2025-12-27 14:01:21.453133,2025-12-27 14:01:32.667995,0 days 00:00:11.214862,40,35,0.1,"{'3': {'requested_lb': 3, 'effective_lb': 'N/A', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 280, 'val_is_capped': False, 'val_sharpe': -2.3044496035460904, 'score': -2.3044496035460904}, '6': {'requested_lb': 6, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 530, 'val_is_capped': False, 'val_sharpe': -1.6566450480069221, 'score': -1.6566450480069221}, '12': {'requested_lb': 12, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 530, 'val_is_capped': False, 'val_sharpe': -1.6566450480069221, 'score': -1.6566450480069221}}",,True,COMPLETE
15,-2.411640716184577,2025-12-27 14:02:05.087281,2025-12-27 14:02:15.493875,0 days 00:00:10.406594,90,31,0.13,"{'3': {'requested_lb': 3, 'effective_lb': 'N/A', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 160, 'val_is_capped': False, 'val_sharpe': -0.25497091734470906, 'score': -0.25497091734470906}, '6': {'requested_lb': 6, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 410, 'val_is_capped': False, 'val_sharpe': -2.411640716184577, 'score': -2.411640716184577}, '12': {'requested_lb': 12, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 410, 'val_is_capped': False, 'val_sharpe': -2.411640716184577, 'score': -2.411640716184577}}",,True,COMPLETE
16,-2.8543587169270146,2025-12-27 14:02:15.500853,2025-12-27 14:02:26.261980,0 days 00:00:10.761127,80,29,0.13,"{'3': {'requested_lb': 3, 'effective_lb': 'N/A', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 200, 'val_is_capped': False, 'val_sharpe': -0.3917274653218457, 'score': -0.3917274653218457}, '6': {'requested_lb': 6, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 450, 'val_is_capped': False, 'val_sharpe': -2.8543587169270146, 'score': -2.8543587169270146}, '12': {'requested_lb': 12, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 450, 'val_is_capped': False, 'val_sharpe': -2.8543587169270146, 'score': -2.8543587169270146}}",,True,COMPLETE
13,-2.987865041358848,2025-12-27 14:01:43.757690,2025-12-27 14:01:54.383496,0 days 00:00:10.625806,70,59,0.09,"{'3': {'requested_lb': 3, 'effective_lb': 'N/A', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 240, 'val_is_capped': False, 'val_sharpe': -1.0358704684575388, 'score': -1.0358704684575388}, '6': {'requested_lb': 6, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 490, 'val_is_capped': False, 'val_sharpe': -2.987865041358848, 'score': -2.987865041358848}, '12': {'requested_lb': 12, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 490, 'val_is_capped': False, 'val_sharpe': -2.987865041358848, 'score': -2.987865041358848}}",,True,COMPLETE
12,-2.9931980392456032,2025-12-27 14:01:32.674243,2025-12-27 14:01:43.751647,0 days 00:00:11.077404,70,45,0.11,"{'3': {'requested_lb': 3, 'effective_lb': 'N/A', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 240, 'val_is_capped': False, 'val_sharpe': -1.1246191476694125, 'score': -1.1246191476694125}, '6': {'requested_lb': 6, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 490, 'val_is_capped': False, 'val_sharpe': -2.9931980392456032, 'score': -2.9931980392456032}, '12': {'requested_lb': 12, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 490, 'val_is_capped': False, 'val_sharpe': -2.9931980392456032, 'score': -2.9931980392456032}}",,True,COMPLETE
5,-3.3223066207890715,2025-12-27 14:00:18.851643,2025-12-27 14:00:29.115275,0 days 00:00:10.263632,70,25,0.1,"{'3': {'requested_lb': 3, 'effective_lb': 'N/A', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 240, 'val_is_capped': False, 'val_sharpe': -2.113620198898586, 'score': -2.113620198898586}, '6': {'requested_lb': 6, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 490, 'val_is_capped': False, 'val_sharpe': -3.3223066207890715, 'score': -3.3223066207890715}, '12': {'requested_lb': 12, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 490, 'val_is_capped': False, 'val_sharpe': -3.3223066207890715, 'score': -3.3223066207890715}}",,True,COMPLETE
