number,value,datetime_start,datetime_complete,duration,bear_rsi_boost,bear_size_mult,ma_period,rsi_period,stop_loss_pct,by_lookback,fail_reason,valid,state
14,-1.9969493458831153,2025-12-27 17:21:28.508481,2025-12-27 17:21:37.704457,0 days 00:00:09.195976,6,0.8,50,35,0.12000000000000001,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 272, 'val_is_capped': False, 'val_sharpe': -0.3498909928071334, 'score': -0.3498909928071334}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -1.9969493458831153, 'score': -1.9969493458831153}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -1.9969493458831153, 'score': -1.9969493458831153}}",,True,COMPLETE
25,-2.0074806090254906,2025-12-27 17:23:07.350098,2025-12-27 17:23:16.446989,0 days 00:00:09.096891,17,1.0,50,29,0.11,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 274, 'val_is_capped': False, 'val_sharpe': -0.7020715638351585, 'score': -0.7020715638351585}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.0074806090254906, 'score': -2.0074806090254906}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.0074806090254906, 'score': -2.0074806090254906}}",,True,COMPLETE
26,-2.026998688874401,2025-12-27 17:23:16.453497,2025-12-27 17:23:26.113551,0 days 00:00:09.660054,17,1.0,50,30,0.11,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 274, 'val_is_capped': False, 'val_sharpe': -0.7020715638351585, 'score': -0.7020715638351585}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.026998688874401, 'score': -2.026998688874401}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.026998688874401, 'score': -2.026998688874401}}",,True,COMPLETE
28,-2.026998688874401,2025-12-27 17:23:35.612417,2025-12-27 17:23:45.224526,0 days 00:00:09.612109,20,0.9,50,30,0.11,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 274, 'val_is_capped': False, 'val_sharpe': -0.7020715638351585, 'score': -0.7020715638351585}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.026998688874401, 'score': -2.026998688874401}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.026998688874401, 'score': -2.026998688874401}}",,True,COMPLETE
24,-2.026998688874401,2025-12-27 17:22:58.172209,2025-12-27 17:23:07.344363,0 days 00:00:09.172154,13,1.0,50,30,0.14,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 274, 'val_is_capped': False, 'val_sharpe': -0.7020715638351585, 'score': -0.7020715638351585}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.026998688874401, 'score': -2.026998688874401}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.026998688874401, 'score': -2.026998688874401}}",,True,COMPLETE
31,-2.026998688874401,2025-12-27 17:24:04.596494,2025-12-27 17:24:04.636337,0 days 00:00:00.039843,17,1.0,50,30,0.11,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 274, 'val_is_capped': False, 'val_sharpe': -0.7020715638351585, 'score': -0.7020715638351585}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.026998688874401, 'score': -2.026998688874401}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.026998688874401, 'score': -2.026998688874401}}",,True,COMPLETE
39,-2.0269993156105435,2025-12-27 17:25:12.289569,2025-12-27 17:25:22.065717,0 days 00:00:09.776148,13,1.0,50,37,0.13,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 272, 'val_is_capped': False, 'val_sharpe': -0.3498909928071334, 'score': -0.3498909928071334}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.0269993156105435, 'score': -2.0269993156105435}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.0269993156105435, 'score': -2.0269993156105435}}",,True,COMPLETE
41,-2.0623617767279994,2025-12-27 17:25:31.291223,2025-12-27 17:25:40.957193,0 days 00:00:09.665970,19,0.9,50,31,0.11,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 274, 'val_is_capped': False, 'val_sharpe': -0.7020715638351585, 'score': -0.7020715638351585}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.0623617767279994, 'score': -2.0623617767279994}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.0623617767279994, 'score': -2.0623617767279994}}",,True,COMPLETE
1,-2.1829541324200266,2025-12-27 17:19:35.198344,2025-12-27 17:19:44.511761,0 days 00:00:09.313417,12,0.8,60,12,0.14,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 278, 'val_is_capped': False, 'val_sharpe': -2.135192852920059, 'score': -2.135192852920059}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 524, 'val_is_capped': False, 'val_sharpe': -2.1829541324200266, 'score': -2.1829541324200266}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 524, 'val_is_capped': False, 'val_sharpe': -2.1829541324200266, 'score': -2.1829541324200266}}",,True,COMPLETE
10,-2.2776792068173366,2025-12-27 17:20:53.402149,2025-12-27 17:21:02.091516,0 days 00:00:08.689367,0,0.9,100,10,0.15,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 112, 'val_is_capped': False, 'val_sharpe': -0.07901330677929445, 'score': -0.07901330677929445}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 356, 'val_is_capped': False, 'val_sharpe': -2.2776792068173366, 'score': -2.2776792068173366}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 356, 'val_is_capped': False, 'val_sharpe': -2.2776792068173366, 'score': -2.2776792068173366}}",,True,COMPLETE
