number,value,datetime_start,datetime_complete,duration,bear_rsi_boost,ma_period,rsi_period,stop_loss_pct,by_lookback,fail_reason,valid,state
39,-2.0269993156105435,2025-12-27 17:51:49.723906,2025-12-27 17:51:59.345806,0 days 00:00:09.621900,8,50,39,0.060000000000000005,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 272, 'val_is_capped': False, 'val_sharpe': -0.3456316340011018, 'score': -0.3456316340011018}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.0269993156105435, 'score': -2.0269993156105435}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.0269993156105435, 'score': -2.0269993156105435}}",,True,COMPLETE
8,-2.0440045013898533,2025-12-27 17:47:04.618609,2025-12-27 17:47:13.714040,0 days 00:00:09.095431,16,50,58,0.15,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 272, 'val_is_capped': False, 'val_sharpe': -0.3452085222568263, 'score': -0.3452085222568263}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.0440045013898533, 'score': -2.0440045013898533}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.0440045013898533, 'score': -2.0440045013898533}}",,True,COMPLETE
32,-2.0440045013898533,2025-12-27 17:50:42.396331,2025-12-27 17:50:52.256515,0 days 00:00:09.860184,19,50,58,0.14,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 272, 'val_is_capped': False, 'val_sharpe': -0.3452085222568263, 'score': -0.3452085222568263}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.0440045013898533, 'score': -2.0440045013898533}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.0440045013898533, 'score': -2.0440045013898533}}",,True,COMPLETE
27,-2.0440045013898533,2025-12-27 17:49:54.923216,2025-12-27 17:50:04.756622,0 days 00:00:09.833406,20,50,56,0.12000000000000001,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 272, 'val_is_capped': False, 'val_sharpe': -0.3452085222568263, 'score': -0.3452085222568263}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.0440045013898533, 'score': -2.0440045013898533}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.0440045013898533, 'score': -2.0440045013898533}}",,True,COMPLETE
45,-2.0440045013898533,2025-12-27 17:52:45.655619,2025-12-27 17:52:55.280082,0 days 00:00:09.624463,14,50,58,0.060000000000000005,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 272, 'val_is_capped': False, 'val_sharpe': -0.3452085222568263, 'score': -0.3452085222568263}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.0440045013898533, 'score': -2.0440045013898533}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.0440045013898533, 'score': -2.0440045013898533}}",,True,COMPLETE
35,-2.0440045013898533,2025-12-27 17:51:11.665708,2025-12-27 17:51:21.285135,0 days 00:00:09.619427,18,50,56,0.12000000000000001,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 272, 'val_is_capped': False, 'val_sharpe': -0.3452085222568263, 'score': -0.3452085222568263}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.0440045013898533, 'score': -2.0440045013898533}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.0440045013898533, 'score': -2.0440045013898533}}",,True,COMPLETE
22,-2.0440045013898533,2025-12-27 17:49:09.245432,2025-12-27 17:49:18.354753,0 days 00:00:09.109321,17,50,56,0.15,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 272, 'val_is_capped': False, 'val_sharpe': -0.3452085222568263, 'score': -0.3452085222568263}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.0440045013898533, 'score': -2.0440045013898533}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.0440045013898533, 'score': -2.0440045013898533}}",,True,COMPLETE
33,-2.0440045013898533,2025-12-27 17:50:52.262160,2025-12-27 17:51:02.069439,0 days 00:00:09.807279,16,50,58,0.13,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 272, 'val_is_capped': False, 'val_sharpe': -0.3452085222568263, 'score': -0.3452085222568263}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.0440045013898533, 'score': -2.0440045013898533}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.0440045013898533, 'score': -2.0440045013898533}}",,True,COMPLETE
31,-2.050915554565289,2025-12-27 17:50:32.840935,2025-12-27 17:50:42.390388,0 days 00:00:09.549453,19,50,52,0.14,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 272, 'val_is_capped': False, 'val_sharpe': -0.3452085222568263, 'score': -0.3452085222568263}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.050915554565289, 'score': -2.050915554565289}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.050915554565289, 'score': -2.050915554565289}}",,True,COMPLETE
24,-2.050915554565289,2025-12-27 17:49:27.530275,2025-12-27 17:49:36.665407,0 days 00:00:09.135132,19,50,51,0.14,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 272, 'val_is_capped': False, 'val_sharpe': -0.3452085222568263, 'score': -0.3452085222568263}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.050915554565289, 'score': -2.050915554565289}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.050915554565289, 'score': -2.050915554565289}}",,True,COMPLETE
