number,value,datetime_start,datetime_complete,duration,ma_period,rsi_period,stop_loss_pct,by_lookback,fail_reason,valid,state
14,-1.0564779587651487,2025-12-28 11:29:03.523677,2025-12-28 11:29:08.088480,0 days 00:00:04.564803,90,44,0.08,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 156, 'val_is_capped': False, 'val_sharpe': 0.07225554989943828, 'score': 0.07225554989943828}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 412, 'val_is_capped': False, 'val_sharpe': -1.0564779587651487, 'score': -1.0564779587651487}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 928, 'val_is_capped': False, 'val_sharpe': -1.0554091673016153, 'score': -1.0554091673016153}}",,True,COMPLETE
16,-1.0564779587651487,2025-12-28 11:29:12.279614,2025-12-28 11:29:16.969857,0 days 00:00:04.690243,90,45,0.08,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 156, 'val_is_capped': False, 'val_sharpe': 0.048509312963289114, 'score': 0.048509312963289114}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 412, 'val_is_capped': False, 'val_sharpe': -1.0564779587651487, 'score': -1.0564779587651487}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 928, 'val_is_capped': False, 'val_sharpe': -1.0554091673016153, 'score': -1.0554091673016153}}",,True,COMPLETE
13,-1.0726259378005856,2025-12-28 11:28:58.980894,2025-12-28 11:29:03.517391,0 days 00:00:04.536497,90,38,0.08,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 156, 'val_is_capped': False, 'val_sharpe': 0.14303982958979483, 'score': 0.14303982958979483}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 414, 'val_is_capped': False, 'val_sharpe': -1.0726259378005856, 'score': -1.0726259378005856}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 930, 'val_is_capped': False, 'val_sharpe': -1.0670881135067996, 'score': -1.0670881135067996}}",,True,COMPLETE
12,-1.4266034939611103,2025-12-28 11:28:54.344433,2025-12-28 11:28:58.974840,0 days 00:00:04.630407,80,36,0.09,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 194, 'val_is_capped': False, 'val_sharpe': 0.4290869503770754, 'score': 0.4290869503770754}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 456, 'val_is_capped': False, 'val_sharpe': -1.0796159161121255, 'score': -1.0796159161121255}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 974, 'val_is_capped': False, 'val_sharpe': -1.4266034939611103, 'score': -1.4266034939611103}}",,True,COMPLETE
10,-1.698872461472235,2025-12-28 11:28:49.535618,2025-12-28 11:28:54.303511,0 days 00:00:04.767893,70,34,0.09,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 230, 'val_is_capped': False, 'val_sharpe': -0.315845329606197, 'score': -0.315845329606197}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 496, 'val_is_capped': False, 'val_sharpe': -1.52932456818103, 'score': -1.52932456818103}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 1012, 'val_is_capped': False, 'val_sharpe': -1.698872461472235, 'score': -1.698872461472235}}",,True,COMPLETE
11,-1.698872461472235,2025-12-28 11:28:54.309522,2025-12-28 11:28:54.338993,0 days 00:00:00.029471,70,34,0.09,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 230, 'val_is_capped': False, 'val_sharpe': -0.315845329606197, 'score': -0.315845329606197}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 496, 'val_is_capped': False, 'val_sharpe': -1.52932456818103, 'score': -1.52932456818103}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 1012, 'val_is_capped': False, 'val_sharpe': -1.698872461472235, 'score': -1.698872461472235}}",,True,COMPLETE
5,-1.8818983485430258,2025-12-28 11:28:24.481877,2025-12-28 11:28:29.808610,0 days 00:00:05.326733,70,25,0.1,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 236, 'val_is_capped': False, 'val_sharpe': -1.7355967590905588, 'score': -1.7355967590905588}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 498, 'val_is_capped': False, 'val_sharpe': -1.6854332629494726, 'score': -1.6854332629494726}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 1014, 'val_is_capped': False, 'val_sharpe': -1.8818983485430258, 'score': -1.8818983485430258}}",,True,COMPLETE
17,-1.9844902502676705,2025-12-28 11:29:16.975576,2025-12-28 11:29:22.032413,0 days 00:00:05.056837,40,46,0.05,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 276, 'val_is_capped': False, 'val_sharpe': -1.8065205535217925, 'score': -1.8065205535217925}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 536, 'val_is_capped': False, 'val_sharpe': -1.3470584440453874, 'score': -1.3470584440453874}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 1055, 'val_is_capped': False, 'val_sharpe': -1.9844902502676705, 'score': -1.9844902502676705}}",,True,COMPLETE
2,-2.1851443275570537,2025-12-28 11:28:11.249987,2025-12-28 11:28:16.213321,0 days 00:00:04.963334,40,54,0.11,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 276, 'val_is_capped': False, 'val_sharpe': -1.7621881438010603, 'score': -1.7621881438010603}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 536, 'val_is_capped': False, 'val_sharpe': -1.3275746467881266, 'score': -1.3275746467881266}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 1050, 'val_is_capped': False, 'val_sharpe': -2.1851443275570537, 'score': -2.1851443275570537}}",,True,COMPLETE
7,-2.211756927684708,2025-12-28 11:28:34.516236,2025-12-28 11:28:39.913855,0 days 00:00:05.397619,60,24,0.09,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 276, 'val_is_capped': False, 'val_sharpe': -2.0038428551264214, 'score': -2.0038428551264214}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 538, 'val_is_capped': False, 'val_sharpe': -1.3033474136477676, 'score': -1.3033474136477676}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 1056, 'val_is_capped': False, 'val_sharpe': -2.211756927684708, 'score': -2.211756927684708}}",,True,COMPLETE
