bas_dd,isu_cd,open,high,low,close,acc_trdvol,acc_trdval,idx_ind_nm
20150102,069500,24605,24750,24555,24725,3564651,87993528730,코스피 200
20150105,069500,24675,24735,24430,24680,7814719,191971015300,코스피 200
20150106,069500,24420,24465,24175,24240,13992808,339736734125,코스피 200
20150107,069500,24240,24330,24185,24290,18903495,459699781805,코스피 200
20150108,069500,24415,24675,24415,24600,13440479,330870500975,코스피 200
20150109,069500,24850,24965,24775,24875,11411616,284074752200,코스피 200
20150112,069500,24750,24910,24745,24815,9446740,234771200215,코스피 200
20150113,069500,24770,24930,24705,24925,5120618,127421643125,코스피 200
20150114,069500,24890,25015,24815,24815,5259432,130860642900,코스피 200
20150115,069500,24780,24930,24735,24890,6000126,149145572095,코스피 200
20150116,069500,24800,24805,24460,24545,10185529,249720331445,코스피 200
20150119,069500,24695,24880,24650,24795,13511084,334966907880,코스피 200
20150120,069500,24860,25025,24850,25015,10998173,274903232750,코스피 200
20150121,069500,24970,25070,24910,25070,8747264,219651767625,코스피 200
20150122,069500,25220,25280,25110,25140,9825356,247374310005,코스피 200
20150123,069500,25490,25495,25230,25285,11368750,288076493500,코스피 200
20150126,069500,25220,25300,25090,25285,8666890,219200820825,코스피 200
20150127,069500,25400,25475,25340,25460,6582109,167549963305,코스피 200
20150128,069500,25320,25505,25310,25485,8445273,215219753735,코스피 200
20150129,069500,25380,25480,25240,25365,7157953,181654473975,코스피 200
20150130,069500,25445,25500,25325,25355,8656579,219590045050,코스피 200
20150202,069500,25225,25395,25210,25295,4457602,112922937290,코스피 200
20150203,069500,25390,25430,25165,25285,2928603,74093951625,코스피 200
20150204,069500,25445,25555,25400,25460,4438741,113151187845,코스피 200
20150205,069500,25430,25440,25175,25200,7531998,190322551660,코스피 200
20150206,069500,25230,25250,25135,25240,7693877,194430836445,코스피 200
20150209,069500,25150,25255,25095,25210,4697704,118470265900,코스피 200
20150210,069500,25200,25320,25075,25090,6396806,160665309485,코스피 200
20150211,069500,25095,25165,25055,25125,5626410,141442212600,코스피 200
20150212,069500,25145,25150,24895,25050,5093395,127449686290,코스피 200
20150213,069500,25115,25255,25115,25235,4931084,124439377045,코스피 200
20150216,069500,25235,25305,25225,25265,8412868,212662017560,코스피 200
20150217,069500,25220,25360,25155,25320,4485826,113554295275,코스피 200
20150223,069500,25440,25550,25370,25390,7620777,193633122505,코스피 200
20150224,069500,25415,25465,25380,25420,5532864,140711174395,코스피 200
20150225,069500,25500,25560,25480,25510,6605823,168700170365,코스피 200
20150226,069500,25515,25535,25445,25500,11625156,296900689910,코스피 200
20150227,069500,25455,25500,25350,25415,7432229,189104972905,코스피 200
20150302,069500,25460,25585,25460,25570,6985462,178663403545,코스피 200
20150303,069500,25640,25705,25620,25665,10534486,270664757945,코스피 200
20150304,069500,25625,25675,25620,25645,8299529,213098407505,코스피 200
20150305,069500,25645,25710,25590,25675,5642091,144892628320,코스피 200
20150306,069500,25720,25820,25685,25810,6784804,175094030085,코스피 200
20150309,069500,25745,25750,25525,25545,5033608,128834184530,코스피 200
20150310,069500,25610,25630,25435,25435,5365056,136810381500,코스피 200
20150311,069500,25270,25485,25240,25450,11188378,284286967800,코스피 200
20150312,069500,25405,25535,25285,25450,6873864,175060924180,코스피 200
20150313,069500,25495,25555,25450,25505,4233597,108055331165,코스피 200
20150316,069500,25475,25565,25430,25525,4541784,115927580050,코스피 200
20150317,069500,25630,26115,25620,26100,6462344,167681394985,코스피 200
20150318,069500,26100,26210,26080,26100,11664816,304847662455,코스피 200
20150319,069500,26300,26310,26130,26175,9637142,252577484715,코스피 200
20150320,069500,26175,26205,26060,26095,7364000,192423342870,코스피 200
20150323,069500,26195,26275,26080,26105,9152691,239597425700,코스피 200
20150324,069500,26080,26160,26000,26160,3709730,96962151620,코스피 200
20150325,069500,26160,26250,26035,26160,4836722,126590210200,코스피 200
20150326,069500,26005,26115,25880,25920,7713405,200467056165,코스피 200
20150327,069500,25900,25955,25825,25860,4875035,126150903685,코스피 200
20150330,069500,25835,25925,25775,25915,4117353,106598625565,코스피 200
20150331,069500,26050,26065,25875,25925,6893954,178912581450,코스피 200
20150401,069500,25880,25925,25720,25725,3893191,100385654200,코스피 200
20150402,069500,25765,25865,25725,25750,5410256,139505473560,코스피 200
20150403,069500,25780,25955,25770,25945,3423364,88701095330,코스피 200
20150406,069500,25930,26060,25895,25935,5037215,130807322535,코스피 200
20150407,069500,26025,26040,25880,25880,4166264,108096009635,코스피 200
20150408,069500,25890,26110,25885,26065,5209416,135903112790,코스피 200
20150409,069500,26040,26135,25985,26045,6041971,157622356705,코스피 200
20150410,069500,26095,26455,26065,26345,9339582,246484692295,코스피 200
20150413,069500,26410,26595,26395,26545,12653793,335951066095,코스피 200
20150414,069500,26555,26755,26550,26670,8626069,230530216000,코스피 200
20150415,069500,26710,26865,26700,26810,9062700,242981938235,코스피 200
20150416,069500,26915,27040,26895,27005,6535979,176586131755,코스피 200
20150417,069500,27045,27095,26985,27025,8658594,234411873080,코스피 200
20150420,069500,26890,27060,26885,27010,4942270,133631051440,코스피 200
20150421,069500,27065,27085,26975,26985,7418414,200594456840,코스피 200
20150422,069500,26995,27340,26995,27110,9361125,254678851325,코스피 200
20150423,069500,27220,27510,27120,27500,9980797,273414873660,코스피 200
20150424,069500,27535,27745,27320,27325,10369654,284804119475,코스피 200
